Age,Workclass,Education,Marital Status,Occupation,Relationship,Race,Sex,Hours per Week,Native Country,Salary
29, Government, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Male,50, United-States, <=50K
48, Self-employed, Doctorate, Married, Prof-specialty, Husband, White, Male,60, United-States, >50K
37, Private, Bachelors, Married, Sales, Husband, White, Male,48, United-States, >50K
48, Private, Assoc-acdm, Divorced, Exec-managerial, Unmarried, White, Female,40, England, <=50K
32, Government, HS-grad, Never-married, Other, Own-child, Black, Male,40, United-States, <=50K
76, Private, Masters, Married, Exec-managerial, Husband, White, Male,40, United-States, >50K
44, Private, Bachelors, Married, Exec-managerial, Husband, White, Male,60, United-States, >50K
47, Self-employed, Masters, Never-married, Prof-specialty, Not-in-family, White, Female,50, United-States, <=50K
20, Private, Bachelors, Never-married, Tech-support, Own-child, White, Female,40, United-States, <=50K
29, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,40, United-States, <=50K
32, Self-employed, HS-grad, Married, Craft-repair, Husband, White, Male,40, United-States, >50K
17, Other, Didnt-grad-HS, Never-married, Other, Own-child, White, Female,32, United-States, <=50K
30, Private, Didnt-grad-HS, Never-married, Handlers-cleaners, Own-child, White, Male,40, United-States, <=50K
31, Government, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,40, United-States, <=50K
42, Private, HS-grad, Married, Handlers-cleaners, Husband, White, Male,40, United-States, <=50K
24, Private, Bachelors, Never-married, Sales, Other-relative, White, Male,40, United-States, <=50K
38, Private, Prof-school, Married, Prof-specialty, Husband, White, Male,40, United-States, >50K
56, Self-employed, HS-grad, Married, Other, Husband, White, Male,50, Canada, >50K
28, Private, Bachelors, Married, Sales, Wife, White, Female,25, United-States, <=50K
36, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Female,40, United-States, <=50K
53, Private, Didnt-grad-HS, Married, Handlers-cleaners, Husband, White, Male,50, United-States, <=50K
56, Self-employed, Bachelors, Married, Sales, Husband, White, Male,50, United-States, <=50K
49, Government, Assoc-voc, Married, Craft-repair, Husband, Black, Male,40, United-States, >50K
55, Private, Bachelors, Married, Sales, Husband, White, Male,56, United-States, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,41, United-States, <=50K
21, Private, Bachelors, Never-married, Other, Own-child, White, Female,40, United-States, <=50K
40, Private, Bachelors, Married, Exec-managerial, Husband, White, Male,60, United-States, <=50K
30, Private, Bachelors, Never-married, Exec-managerial, Own-child, Black, Male,40, Germany, <=50K
29, Government, Bachelors, Married, Prof-specialty, Husband, White, Male,50, United-States, >50K
19, Private, Bachelors, Never-married, Other, Own-child, Black, Male,35, United-States, <=50K
47, Private, Bachelors, Married, Exec-managerial, Wife, White, Female,40, United-States, >50K
20, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Female,28, United-States, <=50K
31, Private, Assoc-acdm, Married, Adm-clerical, Husband, White, Male,40, United-States, >50K
35, Other, HS-grad, Married, Other, Husband, White, Male,40, United-States, <=50K
39, Private, Bachelors, Divorced, Craft-repair, Not-in-family, White, Male,40, United-States, <=50K
28, Private, Assoc-acdm, Never-married, Sales, Not-in-family, White, Female,60, United-States, <=50K
24, Private, HS-grad, Never-married, Other, Not-in-family, White, Female,40, United-States, <=50K
38, Self-employed, HS-grad, Married, Craft-repair, Husband, White, Male,35, United-States, <=50K
37, Private, Bachelors, Married, Sales, Husband, White, Male,50, United-States, <=50K
46, Private, Assoc-acdm, Divorced, Tech-support, Not-in-family, Black, Female,36, United-States, <=50K
38, Government, Masters, Married, Prof-specialty, Husband, White, Male,40, Iran, >50K
43, Self-employed, HS-grad, Married, Craft-repair, Husband, White, Male,60, United-States, <=50K
27, Private, Assoc-voc, Married, Adm-clerical, Wife, White, Female,35, United-States, <=50K
20, Private, Bachelors, Never-married, Sales, Own-child, White, Male,20, United-States, <=50K
49, Private, Bachelors, Married, Craft-repair, Husband, Asian-Pac-Islander, Male,40, United-States, >50K
61, Self-employed, HS-grad, Married, Craft-repair, Husband, White, Male,40, United-States, <=50K
27, Private, Bachelors, Never-married, Sales, Own-child, White, Female,40, United-States, <=50K
19, Private, Bachelors, Never-married, Other, Own-child, White, Male,30, Mexico, <=50K
45, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Female,40, United-States, >50K
70, Private, Bachelors, Never-married, Tech-support, Other-relative, White, Male,40, United-States, <=50K
31, Private, HS-grad, Never-married, Transport-moving, Unmarried, Black, Female,30, United-States, <=50K
22, Private, Bachelors, Married, Other, Husband, White, Male,24, United-States, <=50K
36, Private, HS-grad, Widowed, Other, Unmarried, White, Female,24, United-States, <=50K
64, Private, Didnt-grad-HS, Married, Craft-repair, Husband, White, Male,40, United-States, <=50K
43, Other, Bachelors, Divorced, Other, Not-in-family, White, Female,40, United-States, <=50K
47, Government, Bachelors, Divorced, Adm-clerical, Unmarried, White, Female,38, Mexico, <=50K
34, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,40, United-States, <=50K
33, Private, Bachelors, Never-married, Exec-managerial, Other-relative, Asian-Pac-Islander, Female,40, Philippines, <=50K
21, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,35, United-States, <=50K
52, Other, HS-grad, Divorced, Other, Not-in-family, White, Male,45, United-States, >50K
48, Private, HS-grad, Married, Craft-repair, Husband, White, Male,46, United-States, <=50K
23, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Male,40, United-States, <=50K
71, Self-employed, Bachelors, Separated, Sales, Unmarried, Black, Male,2, United-States, <=50K
29, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,60, United-States, <=50K
42, Private, Bachelors, Separated, Other, Other-relative, Black, Male,50, United-States, <=50K
68, Other, Didnt-grad-HS, Divorced, Other, Not-in-family, White, Female,20, United-States, <=50K
25, Private, HS-grad, Never-married, Other, Unmarried, White, Female,40, United-States, <=50K
44, Self-employed, Masters, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,40, United-States, <=50K
28, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,40, England, <=50K
45, Self-employed, Masters, Married, Sales, Husband, White, Male,40, United-States, >50K
36, Private, Bachelors, Divorced, Other, Unmarried, White, Female,40, Mexico, <=50K
39, Government, Assoc-acdm, Never-married, Exec-managerial, Not-in-family, White, Male,42, United-States, <=50K
46, Government, Masters, Widowed, Protective-serv, Unmarried, White, Male,40, United-States, <=50K
18, Private, Didnt-grad-HS, Never-married, Handlers-cleaners, Own-child, White, Male,16, United-States, <=50K
66, Government, Assoc-voc, Widowed, Prof-specialty, Not-in-family, White, Female,20, United-States, <=50K
27, Private, HS-grad, Never-married, Other, Not-in-family, White, Male,40, United-States, <=50K
28, Government, HS-grad, Married, Protective-serv, Husband, White, Male,40, United-States, <=50K
51, Private, Bachelors, Married, Sales, Husband, White, Male,40, United-States, >50K
27, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Male,50, United-States, <=50K
28, Government, Bachelors, Married, Prof-specialty, Husband, White, Male,40, United-States, >50K
27, Private, HS-grad, Married, Sales, Unmarried, White, Female,25, United-States, <=50K
21, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Male,40, United-States, <=50K
34, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, Black, Male,40, United-States, <=50K
18, Private, HS-grad, Never-married, Other, Own-child, White, Male,12, United-States, <=50K
33, Private, Bachelors, Married, Prof-specialty, Husband, White, Male,65, United-States, <=50K
44, Government, Bachelors, Married, Exec-managerial, Husband, Black, Male,38, United-States, >50K
43, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Female,40, United-States, <=50K
30, Private, Bachelors, Never-married, Craft-repair, Not-in-family, Black, Male,45, United-States, <=50K
40, Private, Didnt-grad-HS, Married, Machine-op-inspct, Husband, White, Male,40, Mexico, >50K
37, Government, Bachelors, Married, Adm-clerical, Husband, White, Male,42, United-States, >50K
34, Private, HS-grad, Married, Adm-clerical, Husband, Black, Male,40, United-States, <=50K
41, Self-employed, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Female,40, United-States, <=50K
53, Other, Bachelors, Divorced, Other, Not-in-family, White, Female,50, United-States, <=50K
31, Private, Masters, Married, Prof-specialty, Wife, White, Female,50, United-States, <=50K
58, Government, Doctorate, Married, Prof-specialty, Husband, White, Male,1, United-States, >50K
38, Private, Bachelors, Divorced, Machine-op-inspct, Not-in-family, Black, Female,28, United-States, <=50K
24, Private, Bachelors, Married, Machine-op-inspct, Husband, White, Male,40, United-States, <=50K
41, Government, Bachelors, Married, Craft-repair, Husband, Black, Male,40, United-States, <=50K
47, Private, Bachelors, Married, Tech-support, Husband, White, Male,45, United-States, <=50K
41, Government, Bachelors, Married, Tech-support, Husband, White, Male,24, United-States, <=50K
23, Private, Didnt-grad-HS, Married, Transport-moving, Other-relative, White, Male,40, Mexico, <=50K
36, Private, Bachelors, Divorced, Craft-repair, Not-in-family, White, Male,40, United-States, <=50K
40, Government, Masters, Never-married, Exec-managerial, Not-in-family, White, Female,55, United-States, >50K
35, Private, Masters, Married, Prof-specialty, Other-relative, White, Male,40, United-States, >50K
24, Self-employed, HS-grad, Never-married, Sales, Not-in-family, White, Male,40, United-States, <=50K
26, Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Female,40, United-States, <=50K
19, Other, HS-grad, Never-married, Other, Own-child, White, Male,40, Italy, <=50K
51, Private, Bachelors, Married, Exec-managerial, Husband, White, Male,50, United-States, >50K
42, Government, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,40, United-States, <=50K
37, Government, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,35, United-States, <=50K
18, Private, Didnt-grad-HS, Never-married, Sales, Own-child, White, Female,40, United-States, <=50K
36, Private, Bachelors, Married, Other, Husband, Black, Male,36, United-States, >50K
35, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,60, United-States, <=50K
58, Self-employed, HS-grad, Married, Sales, Wife, White, Female,35, United-States, >50K
17, Private, Didnt-grad-HS, Never-married, Sales, Own-child, White, Female,12, United-States, <=50K
44, Government, HS-grad, Married, Transport-moving, Husband, Black, Male,40, United-States, <=50K
37, Private, HS-grad, Married, Craft-repair, Husband, White, Male,40, United-States, >50K
35, Private, Bachelors, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,40, United-States, <=50K
60, Private, HS-grad, Married, Craft-repair, Husband, Asian-Pac-Islander, Male,40, United-States, <=50K
54, Self-employed, Didnt-grad-HS, Married, Machine-op-inspct, Husband, White, Male,40, United-States, >50K
37, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Black, Male,60, United-States, >50K
50, Private, Assoc-acdm, Divorced, Sales, Not-in-family, White, Female,40, United-States, <=50K
38, Private, Bachelors, Married, Sales, Husband, White, Male,50, Poland, <=50K
45, Private, Bachelors, Married, Prof-specialty, Husband, White, Male,55, United-States, <=50K
25, Private, Didnt-grad-HS, Never-married, Craft-repair, Not-in-family, White, Male,40, United-States, <=50K
31, Private, Bachelors, Married, Handlers-cleaners, Husband, White, Male,40, United-States, <=50K
64, Other, Didnt-grad-HS, Divorced, Other, Not-in-family, White, Male,40, United-States, <=50K
90, Private, HS-grad, Never-married, Other, Not-in-family, Black, Male,40, United-States, <=50K
54, Private, HS-grad, Married, Adm-clerical, Husband, Black, Male,20, United-States, <=50K
53, Government, Didnt-grad-HS, Never-married, Machine-op-inspct, Not-in-family, White, Female,35, United-States, <=50K
18, Private, HS-grad, Never-married, Sales, Own-child, White, Female,40, United-States, <=50K
60, Other, Didnt-grad-HS, Divorced, Other, Not-in-family, Amer-Indian-Eskimo, Female,10, United-States, <=50K
66, Self-employed, HS-grad, Married, Farming-fishing, Husband, White, Male,50, United-States, <=50K
75, Private, Assoc-voc, Widowed, Adm-clerical, Not-in-family, White, Female,20, Columbia, <=50K
65, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,40, United-States, <=50K
35, Private, Didnt-grad-HS, Separated, Transport-moving, Not-in-family, Black, Male,40, United-States, <=50K
41, Private, HS-grad, Divorced, Sales, Unmarried, Black, Female,38, United-States, <=50K
25, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male,42, United-States, <=50K
33, Private, Bachelors, Divorced, Craft-repair, Other-relative, Other, Female,40, United-States, <=50K
28, Private, Prof-school, Never-married, Prof-specialty, Not-in-family, White, Male,55, United-States, >50K
59, Government, HS-grad, Married, Other, Husband, White, Male,40, United-States, <=50K
40, Government, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,38, United-States, <=50K
41, Private, Bachelors, Married, Exec-managerial, Husband, White, Male,50, Iran, >50K
38, Government, Masters, Married, Exec-managerial, Husband, White, Male,70, United-States, >50K
23, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,40, United-States, <=50K
40, Private, Bachelors, Married, Prof-specialty, Husband, White, Male,40, United-States, >50K
41, Self-employed, HS-grad, Married, Other, Wife, White, Female,20, United-States, <=50K
24, Government, Assoc-acdm, Married, Protective-serv, Husband, White, Male,50, United-States, <=50K
20, Other, Bachelors, Never-married, Other, Own-child, White, Male,20, United-States, <=50K
38, Private, Bachelors, Divorced, Craft-repair, Not-in-family, White, Male,40, United-States, <=50K
56, Private, HS-grad, Married, Adm-clerical, Husband, White, Male,35, ?, <=50K
58, Private, HS-grad, Married, Adm-clerical, Husband, White, Male,45, United-States, >50K
32, Private, HS-grad, Never-married, Other, Not-in-family, White, Female,34, United-States, <=50K
40, Private, Assoc-acdm, Married, Tech-support, Husband, White, Male,60, United-States, >50K
45, Private, HS-grad, Married, Adm-clerical, Husband, White, Male,40, ?, <=50K
41, Private, Prof-school, Married, Prof-specialty, Wife, White, Female,40, United-States, >50K
42, Private, Bachelors, Married, Adm-clerical, Wife, Black, Female,40, United-States, <=50K
59, Government, Didnt-grad-HS, Widowed, Other, Unmarried, Black, Female,30, United-States, <=50K
19, Government, Bachelors, Never-married, Adm-clerical, Own-child, White, Male,40, United-States, <=50K
58, Private, Bachelors, Never-married, Transport-moving, Not-in-family, White, Male,20, United-States, <=50K
42, Self-employed, HS-grad, Married, Farming-fishing, Husband, Asian-Pac-Islander, Male,40, Cambodia, >50K
20, Private, HS-grad, Never-married, Other, Own-child, White, Female,40, United-States, <=50K
32, Private, HS-grad, Separated, Other, Not-in-family, White, Female,30, United-States, <=50K
45, Private, Assoc-voc, Widowed, Exec-managerial, Not-in-family, White, Female,45, United-States, <=50K
50, Private, Didnt-grad-HS, Divorced, Craft-repair, Not-in-family, White, Male,40, United-States, <=50K
36, Private, Bachelors, Divorced, Prof-specialty, Own-child, White, Female,40, United-States, <=50K
45, Private, HS-grad, Married, Sales, Husband, White, Male,60, United-States, <=50K
17, Private, Didnt-grad-HS, Never-married, Other, Own-child, White, Male,12, United-States, <=50K
59, Private, Bachelors, Married, Sales, Husband, White, Male,40, United-States, <=50K
26, Private, Didnt-grad-HS, Married, Craft-repair, Husband, White, Male,40, United-States, <=50K
37, Self-employed, Bachelors, Married, Exec-managerial, Husband, Asian-Pac-Islander, Male,75, Thailand, >50K
19, Other, Bachelors, Never-married, Other, Own-child, White, Male,24, Canada, <=50K
64, Private, HS-grad, Married, Exec-managerial, Husband, White, Male,40, United-States, >50K
33, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,45, United-States, <=50K
33, Private, HS-grad, Married, Craft-repair, Wife, White, Female,40, United-States, >50K
61, Private, HS-grad, Married, Exec-managerial, Husband, White, Male,40, United-States, >50K
17, Private, Didnt-grad-HS, Never-married, Other, Own-child, White, Male,24, United-States, <=50K
50, Self-employed, Masters, Married, Farming-fishing, Husband, White, Male,98, United-States, <=50K
27, Government, Masters, Never-married, Prof-specialty, Own-child, White, Male,35, United-States, <=50K
30, Private, HS-grad, Divorced, Prof-specialty, Own-child, White, Female,40, United-States, <=50K
43, Private, HS-grad, Married, Handlers-cleaners, Husband, Black, Male,40, United-States, <=50K
44, Private, Bachelors, Married, Craft-repair, Husband, White, Male,40, United-States, >50K
35, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,40, United-States, <=50K
25, Private, Bachelors, Never-married, Tech-support, Own-child, White, Female,40, United-States, <=50K
24, Private, Bachelors, Married, Machine-op-inspct, Wife, White, Female,48, United-States, >50K
22, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,15, Germany, <=50K
42, Government, Bachelors, Married, Craft-repair, Husband, White, Male,40, United-States, >50K
34, Private, Assoc-acdm, Divorced, Sales, Unmarried, Black, Female,45, United-States, <=50K
60, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female,42, United-States, <=50K
21, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,40, United-States, <=50K
57, Government, Masters, Married, Sales, Husband, White, Male,40, United-States, >50K
41, Private, Prof-school, Married, Prof-specialty, Husband, White, Male,60, United-States, >50K
50, Private, Bachelors, Divorced, Other, Not-in-family, White, Male,45, United-States, <=50K
25, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,40, United-States, <=50K
50, Private, Didnt-grad-HS, Married, Craft-repair, Husband, White, Male,40, Ecuador, <=50K
36, Private, Bachelors, Married, Prof-specialty, Husband, White, Male,45, United-States, <=50K
31, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Female,40, United-States, <=50K
29, Government, Bachelors, Never-married, Protective-serv, Not-in-family, White, Male,56, United-States, <=50K
21, Private, Bachelors, Never-married, Sales, Own-child, White, Male,45, United-States, <=50K
27, Private, Bachelors, Never-married, Tech-support, Unmarried, Black, Female,40, United-States, <=50K
65, Private, HS-grad, Married, Transport-moving, Husband, White, Male,16, United-States, <=50K
37, Self-employed, Bachelors, Divorced, Sales, Not-in-family, White, Female,60, United-States, <=50K
39, Other, Masters, Married, Other, Wife, Asian-Pac-Islander, Female,40, ?, <=50K
24, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,40, United-States, <=50K
38, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,80, United-States, <=50K
48, Private, Bachelors, Married, Adm-clerical, Husband, White, Male,40, United-States, >50K
21, Private, Bachelors, Never-married, Other, Not-in-family, Asian-Pac-Islander, Female,25, United-States, <=50K
31, Private, HS-grad, Married, Transport-moving, Husband, White, Male,45, United-States, >50K
55, Private, HS-grad, Married, Sales, Husband, White, Male,40, United-States, >50K
24, Private, Bachelors, Married, Adm-clerical, Wife, Asian-Pac-Islander, Female,40, Laos, <=50K
43, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,40, United-States, <=50K
26, Private, Assoc-acdm, Never-married, Tech-support, Not-in-family, White, Male,45, United-States, <=50K
46, Private, Assoc-acdm, Never-married, Prof-specialty, Not-in-family, White, Female,33, United-States, <=50K
35, Private, Assoc-acdm, Married, Adm-clerical, Husband, White, Male,40, United-States, >50K
41, Self-employed, Bachelors, Married, Farming-fishing, Husband, White, Male,54, United-States, >50K
26, Private, Bachelors, Never-married, Sales, Not-in-family, White, Male,40, United-States, <=50K
34, Private, Masters, Married, Exec-managerial, Husband, Asian-Pac-Islander, Male,35, Taiwan, >50K
19, Other, Bachelors, Never-married, Other, Own-child, Black, Female,25, United-States, <=50K
